datetime;open;high;low;close;volume
2015-03-11;291.37;297.66;288.88;295.6;23542829.99
2015-03-12;295.6;296.98;290.83;293.85;31607747.19
2015-03-13;293.85;294.92;286.08;287.21;28288614.1
2015-03-14;287.21;288.4;279.3;281.6;21495879.21
2015-03-15;281.6;286.39;280.37;284.88;11238833.94
2015-03-16;284.88;294.01;284.77;290.41;19355605.15
2015-03-17;290.41;292.46;283.25;285.38;18775700.27
2015-03-18;285.38;285.65;248.19;255.92;55391241.42
2015-03-19;255.92;264.8;247.0;260.93;46525086.82
2015-03-20;260.93;264.71;257.85;261.78;13853175.66
2015-03-21;261.78;263.26;254.02;259.71;13413360.84
2015-03-22;259.71;270.42;259.0;268.57;14980752.09
2015-03-23;268.57;271.01;259.38;265.46;21749937.38
2015-03-24;265.46;267.02;242.67;246.72;38033136.19
2015-03-25;246.72;249.21;234.84;246.37;32092197.46
2015-03-26;246.37;254.69;243.52;248.02;22412560.34
2015-03-27;248.02;250.05;244.47;247.21;15543779.05
2015-03-28;247.21;254.25;246.28;252.02;13890988.51
2015-03-29;252.02;252.81;238.93;242.08;18971340.67
2015-03-30;242.08;248.83;236.55;246.79;20963830.56
2015-03-31;246.79;248.7;241.18;244.15;18515676.34
2015-04-01;244.15;247.67;239.57;246.24;16412525.86
2015-04-02;246.24;254.85;244.25;252.6;20354036.74
2015-04-03;252.6;256.53;251.26;254.48;18264452.59
2015-04-04;254.48;255.24;250.31;252.89;7805160.91
2015-04-05;252.89;260.26;250.6;259.64;11277271.88
2015-04-06;259.64;261.45;252.32;254.97;11857398.41
2015-04-07;254.97;255.6;250.15;252.97;11401051.13
2015-04-08;252.97;254.26;242.57;244.57;25401433.04
2015-04-09;244.57;246.22;237.62;243.32;16846896.21
2015-04-10;243.32;244.11;231.3;234.73;23728422.4
2015-04-11;234.73;240.0;233.12;236.48;12319489.65
2015-04-12;236.48;237.52;232.27;235.85;7814533.91
2015-04-13;235.85;236.75;220.36;223.59;23982950.79
2015-04-14;223.59;224.72;214.27;217.99;25315606.19
2015-04-15;217.99;223.56;217.15;222.97;17099352.43
2015-04-16;222.97;229.53;222.87;227.98;19315044.09
2015-04-17;227.98;229.28;220.56;222.59;15015559.02
2015-04-18;222.59;224.47;220.57;223.35;8152434.69
2015-04-19;223.35;226.94;221.96;223.02;7984589.44
2015-04-20;223.02;226.72;221.58;224.24;10082693.46
2015-04-21;224.24;235.27;223.29;233.73;15658818.31
2015-04-22;233.73;238.4;231.8;233.78;18280060.34
2015-04-23;233.78;236.12;232.58;235.4;9982620.64
2015-04-24;235.4;236.55;229.06;231.09;16221169.24
2015-04-25;231.09;232.29;223.05;226.14;10015666.23
2015-04-26;226.14;226.72;214.14;218.7;22088733.35
2015-04-27;218.7;242.65;216.6;228.96;27696437.64
2015-04-28;228.96;229.87;222.03;225.81;14896418.52
2015-04-29;225.81;227.24;222.25;225.42;13743340.35
2015-04-30;225.42;240.01;224.68;235.77;26242196.77
2015-05-01;235.77;239.42;232.38;233.21;14178420.18
2015-05-02;233.21;236.38;231.73;235.34;8703582.59
2015-05-03;235.34;243.58;233.8;239.99;13389153.76
2015-05-04;239.99;243.2;237.45;238.97;16599243.56
2015-05-05;238.97;239.61;231.78;235.82;18333196.41
2015-05-06;235.82;237.15;228.24;230.03;24127653.28
2015-05-07;230.03;240.25;228.33;237.73;21315971.39
2015-05-08;237.73;247.01;235.77;243.74;21226000.84
2015-05-09;243.74;247.87;238.52;241.4;15281109.27
2015-05-10;241.4;244.82;238.23;239.96;10634289.99
2015-05-11;239.96;243.95;238.86;241.81;13819530.94
2015-05-12;241.81;243.0;239.18;241.58;9712214.4
2015-05-13;241.58;243.91;234.07;236.38;20329395.15
2015-05-14;236.38;239.17;232.36;236.9;16833656.66
2015-05-15;236.9;238.83;235.53;237.2;10932777.42
2015-05-16;237.2;237.78;234.57;236.23;6415070.12
2015-05-17;236.23;237.77;235.35;236.3;6738302.37
2015-05-18;236.3;237.1;231.46;232.64;12516261.2
2015-05-19;232.64;234.5;231.27;232.02;9550029.29
2015-05-20;232.02;235.17;231.47;233.96;11626735.04
2015-05-21;233.96;236.65;233.61;235.38;10114419.29
2015-05-22;235.38;242.0;234.56;240.37;17630641.48
2015-05-23;240.37;241.73;238.05;238.94;8659651.42
2015-05-24;238.94;242.39;237.48;240.98;7278251.72
2015-05-25;240.98;241.79;235.81;237.41;6301300.86
2015-05-26;237.41;238.99;235.58;237.84;8842430.86
2015-05-27;237.84;238.95;235.89;237.29;11445501.96
2015-05-28;237.29;238.41;236.23;237.32;8508673.17
2015-05-29;237.32;237.89;235.13;237.03;9241377.0
2015-05-30;237.03;237.06;231.59;233.22;9738568.03
2015-05-31;233.22;233.99;229.13;229.84;9036624.56
2015-06-01;229.84;231.76;220.97;223.14;19658919.58
2015-06-02;223.14;227.44;222.25;225.74;13666049.75
2015-06-03;225.74;227.86;223.69;225.59;12279838.72
2015-06-04;225.59;226.71;223.49;224.22;9934190.66
2015-06-05;224.22;226.36;222.15;225.29;12703848.43
2015-06-06;225.29;225.76;223.53;224.74;5074897.56
2015-06-07;224.74;226.36;222.21;223.47;9097310.34
2015-06-08;223.47;229.91;222.99;228.57;16824026.1
2015-06-09;228.57;231.36;227.51;229.56;12617632.43
2015-06-10;229.56;230.44;227.84;228.79;9556657.69
2015-06-11;228.79;230.64;228.54;229.88;8745318.46
2015-06-12;229.88;231.58;229.29;230.46;9406856.66
2015-06-13;230.46;233.14;229.01;232.48;8803491.08
2015-06-14;232.48;235.51;232.09;233.75;7700053.79
2015-06-15;233.75;238.55;233.29;237.0;15006949.33
2015-06-16;237.0;254.15;235.7;249.82;29956654.2
2015-06-17;249.82;258.48;245.09;247.38;30652977.32
2015-06-18;247.38;251.95;242.46;248.44;19421567.7
2015-06-19;248.44;250.81;243.65;244.13;20914718.44
2015-06-20;244.13;246.63;238.7;244.98;12470598.74
2015-06-21;244.98;246.03;240.94;244.1;6140997.64
2015-06-22;244.1;248.6;243.16;247.46;11713076.05
2015-06-23;247.46;247.67;242.32;243.76;9432470.15
2015-06-24;243.76;244.51;239.05;240.56;11415709.88
2015-06-25;240.56;243.65;239.32;242.56;9791297.92
2015-06-26;242.56;243.49;240.14;242.95;9112156.6
2015-06-27;242.95;251.57;241.83;250.73;13525813.79
2015-06-28;250.73;251.59;246.62;248.88;9955671.92
2015-06-29;248.88;257.54;247.96;256.97;23504772.6
2015-06-30;256.97;268.73;255.37;264.12;30621602.74
2015-07-01;264.12;265.0;254.41;257.62;17316801.19
2015-07-02;257.62;261.29;253.09;254.88;11560214.6
2015-07-03;254.88;256.71;252.44;255.4;9335969.35
2015-07-04;255.4;261.08;253.37;260.55;8502000.62
2015-07-05;260.55;274.14;257.61;270.14;12906220.27
2015-07-06;270.14;277.48;266.46;269.08;14242625.38
2015-07-07;269.08;271.34;263.21;266.21;11104556.73
2015-07-08;266.21;273.57;263.18;268.64;12157995.11
2015-07-09;268.64;272.31;265.13;269.14;13058350.83
2015-07-10;269.14;297.85;266.91;283.62;33254590.34
2015-07-11;283.62;298.76;282.28;291.97;13584989.4
2015-07-12;291.97;315.88;291.26;310.44;36866127.76
2015-07-13;310.44;310.88;276.85;290.35;42741263.66
2015-07-14;290.35;296.96;285.17;286.96;17635928.71
2015-07-15;286.96;292.92;283.17;283.42;17274148.89
2015-07-16;283.42;290.84;273.28;276.59;34155564.7
2015-07-17;276.59;280.76;271.17;279.62;17217352.98
2015-07-18;279.62;282.53;243.24;274.05;15358107.19
2015-07-19;274.05;277.07;271.85;273.18;8322466.0
2015-07-20;273.18;278.85;271.82;277.68;12900609.61
2015-07-21;277.68;281.05;274.19;275.09;13667891.12
2015-07-22;275.09;277.39;273.12;276.46;11596311.21
2015-07-23;276.46;277.85;274.47;275.52;9870635.2
2015-07-24;275.52;289.81;274.26;288.37;21095041.66
2015-07-25;288.37;291.24;284.67;288.74;12024889.58
2015-07-26;288.74;293.28;286.77;291.77;9038050.71
2015-07-27;291.77;295.79;285.4;293.01;20358325.65
2015-07-28;293.01;296.68;291.67;293.7;14466428.05
2015-07-29;293.7;294.72;286.89;288.37;14738216.66
2015-07-30;288.37;289.89;284.91;287.02;12888680.67
2015-07-31;287.02;288.69;280.77;283.73;14019071.24
2015-08-01;283.73;284.53;276.3;280.47;11068826.78
2015-08-02;280.47;282.5;275.93;281.36;9978638.45
2015-08-03;281.36;285.0;278.94;281.58;13006246.28
2015-08-04;281.58;285.66;279.58;284.3;12732203.17
2015-08-05;284.3;285.45;280.53;281.72;10854754.48
2015-08-06;281.72;281.98;276.46;278.0;9319083.23
2015-08-07;278.0;279.6;274.28;277.89;11919665.19
2015-08-08;277.89;278.92;257.42;258.6;22308123.7
2015-08-09;258.6;266.75;258.56;263.87;15154749.09
2015-08-10;263.87;266.63;260.52;263.3;12873441.85
2015-08-11;263.3;269.9;261.44;269.03;13681939.6
2015-08-12;269.03;271.5;263.66;267.66;15232934.05
2015-08-13;267.66;268.39;261.28;263.44;14962211.79
2015-08-14;263.44;267.22;260.21;265.03;13899139.99
2015-08-15;265.03;266.55;259.38;260.52;10303301.22
2015-08-16;260.52;261.92;254.57;257.12;17880398.95
2015-08-17;257.12;259.93;252.87;257.13;12378054.89
2015-08-18;257.13;257.53;245.74;246.72;23896056.77
2015-08-19;246.72;247.95;214.29;226.0;55514712.14
2015-08-20;226.0;238.03;225.54;234.66;21225055.42
2015-08-21;234.66;236.3;230.48;232.4;13485729.48
2015-08-22;232.4;235.07;221.04;229.54;16976922.67
2015-08-23;229.54;232.7;224.27;226.75;11204081.47
2015-08-24;226.75;228.43;207.82;211.43;43008579.43
2015-08-25;211.43;226.55;196.26;220.51;40651749.53
2015-08-26;220.51;230.69;218.79;224.97;20986286.41
2015-08-27;224.97;228.44;222.0;222.73;13631111.36
2015-08-28;222.73;234.81;219.6;231.64;20751420.42
2015-08-29;231.64;233.09;226.35;228.5;10072201.21
2015-08-30;228.5;232.32;225.44;228.4;9118089.39
2015-08-31;228.4;231.79;224.2;229.47;12521966.49
2015-09-01;229.47;231.45;225.76;227.18;15206241.05
2015-09-02;227.18;230.59;225.57;228.63;13443780.85
2015-09-03;228.63;229.62;225.36;226.2;12337406.44
2015-09-04;226.2;231.06;225.75;230.25;14174313.31
2015-09-05;230.25;235.61;228.29;233.67;11253257.52
2015-09-06;233.67;243.64;234.74;239.86;15939620.21
2015-09-07;239.86;242.66;237.49;239.58;13744695.27
2015-09-08;239.58;246.38;239.23;243.24;18605471.98
2015-09-09;243.24;244.34;236.49;237.41;16636258.68
2015-09-10;237.41;240.63;234.31;238.08;14447606.84
2015-09-11;238.08;241.02;237.38;239.9;10992443.1
2015-09-12;239.9;240.32;233.32;235.6;10407178.6
2015-09-13;235.6;236.16;228.28;230.19;11983360.26
2015-09-14;230.19;232.64;225.96;229.91;14070910.12
2015-09-15;229.91;242.83;228.03;229.53;11425472.46
2015-09-16;229.53;230.89;225.05;228.6;11866728.14
2015-09-17;228.6;235.17;227.95;232.72;12975914.38
2015-09-18;232.72;234.69;230.58;232.21;12397851.98
2015-09-19;232.21;233.35;230.21;231.11;8004103.62
2015-09-20;231.11;232.67;229.93;231.09;7676869.88
2015-09-21;231.09;231.63;225.0;226.33;12180039.21
2015-09-22;226.33;233.24;224.07;230.01;16390021.59
2015-09-23;230.01;232.2;228.5;229.89;10064288.46
2015-09-24;229.89;235.84;229.57;233.76;16797644.6
2015-09-25;233.76;237.58;232.7;235.03;14510987.84
2015-09-26;235.03;235.71;232.74;234.3;9449846.08
2015-09-27;234.3;234.75;231.84;232.5;8429802.53
2015-09-28;232.5;240.39;232.37;238.87;15282768.65
2015-09-29;238.87;240.39;234.8;236.71;13637645.5
2015-09-30;236.71;237.83;234.39;235.93;11946864.9
2015-10-01;235.93;238.66;234.7;237.05;12534482.83
2015-10-02;237.05;238.45;235.14;236.71;11378441.69
2015-10-03;236.71;239.52;236.07;238.58;10338780.01
2015-10-04;238.58;277.58;237.51;238.33;7618430.27
2015-10-05;238.33;240.53;236.41;240.15;14631928.87
2015-10-06;240.15;247.61;239.36;246.14;19242190.45
2015-10-07;246.14;247.28;241.65;242.98;15363142.53
2015-10-08;242.98;244.79;241.57;242.58;10762328.45
2015-10-09;242.58;244.56;241.34;244.04;9897714.74
2015-10-10;244.04;245.93;242.89;245.35;9547124.76
2015-10-11;245.35;248.26;244.47;247.65;10232454.52
2015-10-12;247.65;248.02;244.65;245.35;9961674.07
2015-10-13;245.35;251.19;243.11;248.78;18553307.06
2015-10-14;248.78;255.06;248.28;252.33;17511356.73
2015-10-15;252.33;256.76;251.17;254.44;15465023.84
2015-10-16;254.44;267.27;253.93;262.87;24886162.93
2015-10-17;262.87;275.41;261.74;269.58;30715446.42
2015-10-18;269.58;272.44;259.53;261.67;13921233.73
2015-10-19;261.67;265.95;259.89;263.82;15352671.06
2015-10-20;263.82;272.12;262.7;269.75;20200355.34
2015-10-21;269.75;272.17;263.54;267.11;16006977.1
2015-10-22;267.11;278.74;266.8;274.42;25481882.58
2015-10-23;274.42;279.77;273.17;276.92;19221822.38
2015-10-24;276.92;283.05;277.01;282.56;16875626.47
2015-10-25;282.56;295.56;281.75;287.86;32946170.24
2015-10-26;287.86;287.62;279.62;285.15;20794049.79
2015-10-27;285.15;298.43;285.09;294.66;31003938.2
2015-10-28;294.66;307.46;294.02;303.54;35117112.66
2015-10-29;303.54;318.48;300.16;313.63;43194878.81
2015-10-30;313.63;334.92;310.82;327.12;50796456.31
2015-10-31;327.12;333.25;304.6;311.24;33762428.44
2015-11-01;311.24;324.34;304.72;322.95;23427549.6
2015-11-02;322.95;365.75;319.75;359.28;76864059.45
2015-11-03;359.28;416.78;354.58;396.49;163481625.82
2015-11-04;396.49;492.8;368.62;400.89;229673024.39
2015-11-05;400.89;447.24;366.08;382.7;121763708.16
2015-11-06;382.7;396.35;348.84;369.81;94921694.02
2015-11-07;369.81;391.75;368.98;385.09;39495095.0
2015-11-08;385.09;389.78;365.49;371.56;35907981.64
2015-11-09;371.56;385.11;360.17;380.22;47074440.94
2015-11-10;380.22;381.38;323.21;336.69;74896052.37
2015-11-11;336.69;341.76;292.38;304.71;83078426.53
2015-11-12;304.71;346.13;306.07;333.85;54120828.19
2015-11-13;333.85;341.79;323.91;333.77;32480298.94
2015-11-14;333.77;369.8;326.35;331.77;23836097.89
2015-11-15;331.77;334.78;314.16;317.45;28640663.53
2015-11-16;317.45;332.01;314.06;330.21;28260517.56
2015-11-17;330.21;342.91;328.15;333.91;32944787.48
2015-11-18;333.91;337.39;329.42;335.92;26194853.26
2015-11-19;335.92;335.64;323.36;324.98;28543062.16
2015-11-20;324.98;327.06;309.48;321.12;35090324.43
2015-11-21;321.12;328.42;318.37;324.7;14652996.7
2015-11-22;324.7;326.94;319.35;322.78;11915632.14
2015-11-23;322.78;325.0;319.89;322.12;13839023.95
2015-11-24;322.12;323.26;315.54;318.35;16282941.39
2015-11-25;318.35;330.04;315.69;327.52;25200934.79
2015-11-26;327.52;368.92;327.4;353.74;73395832.57
2015-11-27;353.74;363.9;345.15;359.52;36955394.2
